Name,Codeforces,Ques_Solved,Leetcode,Ques_Solved,Codechef,Ques_Solved
kuldeep,None,None,neal_wu,253,"iitm21f3003016",0
pdash,PDash4030,0,deshpandeprathamesh2003,0,pdash,7
